locationA,locationB,accessType,through_location
a_keis,aoe,land,
a_keis,hantam,land,
a_keis,khai_ma,land,
a_keis,matzikama,land,
a_keis,nama,land,
a_keis,namakwa,land,
a_keis,tconsiep,land,
a_taw_bun_kut_en,khelhghubun,lake,
a_taw_bun_kut_en,khelhghubunt_en,land,
a_taw_bun_kut_en,na_taw_bun_kut,lake,
a_taw_bun_kut_en,nak_azdlit_en,land,
a_taw_bun_kut_en,witset,river,
aa_kw,funter_bay,port,
aa_kw,gunaaxoo,land,
aa_kw,jilkaat,land,
aabenraa,flensburg,land,
aabenraa,haderslev,land,
aabenraa,lilla_balt,port,
aabenraa,tonder,land,
aaboukingon,cuttaway,land,
aaboukingon,gichthanne,river,
aaboukingon,kuttawa,river,
aaboukingon,patoka,river,
aaboukingon,pennyrile,river,
aaboukingon,tywhapita,river,
aachen,duren,land,
aachen,heinsberg,land,
aachen,limbourg,land,
aachen,maastricht,land,
aachen,schleiden,land,
aachen,st_vith,land,
aahkawiraahkata,harahey,land,
aahkawiraahkata,kaiurskuta,land,
aahkawiraahkata,ne_miskua,land,
aahkawiraahkata,nepahalla,land,
aahkawiraahkata,panenetah,river,
aahkawiraahkata,quivira,river,
aahkawirahkata,aashbiliihkupe,river,
aahkawirahkata,iichiilikaaashaashe,river,
aahkawirahkata,mitsiadazi,land,
aahkawirahkata,skaapirox,land,
aakhoe,bayei,land,
aakhoe,etosha_salt_pan,land,
aakhoe,haiom,land,
aakhoe,himba,land,
aakhoe,odonga,land,
aakhoe,oukwanyama,land,
aakhoe,uukwambi,land,
aaku,halona_idiwana,land,
aaku,shiewhibak,land,
aaku,teypana,land,
aaku,tselgaii,land,
aaku,tsiya,land,
aalborg,alborg_bugt,port,
aalborg,ars,land,
aalborg,hjorring,through-sea,limfjorden
aalborg,limfjorden,coastal,
aalborg,randers,land,
aalborg,skagen,through-sea,limfjorden
aalst,ath,river,
aalst,brussels,river,
aalst,enghien,land,
aalst,ghent,river,
aalst,oudenaarde,river,
aalst,sint_niklaas,river,
aankwaahsakwa,agouasaque,river,
aankwaahsakwa,gichthanne,river,
aankwaahsakwa,oheyandewa,land,
aankwaahsakwa,wapahani,land,
aankwaahsakwa,wapinippi,river,
aantaara_point,alula,coastal,
aantaara_point,bosaso,coastal,
aantaara_point,cape_cadcadde,sea,
aantaara_point,cape_elephant,sea,
aantaara_point,gulf_aden2,sea,
aantaara_point,qandala,port,
aarau,baden_im_aargau,river,
aarau,basel,river,
aarau,burgdorf_emmental,river,
aarau,lucerne,land,
aarau,mullheim,river,
aarau,solothurn,land,
aarau,waldshut,land,
aarau,wolhusen,land,
aarhus,grindsted,land,
aarhus,kalo,land,
aarhus,kolding,land,
aarhus,randers,land,
aarhus,silkeborg,land,
aarhus,stora_balt,port,
aashbikkaashee,grass_creek,land,
aashbikkaashee,iichiilikaaashaashe,land,
