countryCode,flagUrl
SWE,https://eu5.paradoxwikis.com/images/0/0e/Flag_SWE.png
DAN,https://eu5.paradoxwikis.com/images/d/df/Flag_DAN.png
SKE,https://eu5.paradoxwikis.com/images/7/7b/Flag_SKE.png
FIN,https://eu5.paradoxwikis.com/images/9/9d/Flag_FIN.png
NOR,https://eu5.paradoxwikis.com/images/f/ff/Flag_NOR.png
ICE,https://eu5.paradoxwikis.com/images/0/03/Flag_ICE.png
GRL,https://eu5.paradoxwikis.com/images/7/7a/Flag_GRL.png
SMI,https://eu5.paradoxwikis.com/images/f/f9/Flag_SMI.png
KVE,https://eu5.paradoxwikis.com/images/7/71/Flag_KVE.png
TAV,https://eu5.paradoxwikis.com/images/9/9a/Flag_TAV.png
SVO,https://eu5.paradoxwikis.com/images/6/69/Flag_SVO.png
KRL,https://eu5.paradoxwikis.com/images/3/35/Flag_KRL.png
BJA,https://eu5.paradoxwikis.com/images/a/a7/Flag_BJA.png
TEU,https://eu5.paradoxwikis.com/images/a/ae/Flag_TEU.png
LIV,https://eu5.paradoxwikis.com/images/6/61/Flag_LIV.png
ERM,https://eu5.paradoxwikis.com/images/7/7c/Flag_ERM.png
CHL,https://eu5.paradoxwikis.com/images/7/7d/Flag_CHL.png
PMS,https://eu5.paradoxwikis.com/images/d/dd/Flag_PMS.png
SMD,https://eu5.paradoxwikis.com/images/7/77/Flag_SMD.png
RIG,https://eu5.paradoxwikis.com/images/7/76/Flag_RIG.png
ARR,https://eu5.paradoxwikis.com/images/a/a0/Flag_ARR.png
KUR,https://eu5.paradoxwikis.com/images/d/d7/Flag_KUR.png
BIO,https://eu5.paradoxwikis.com/images/d/d4/Flag_BIO.png
BID,https://eu5.paradoxwikis.com/images/7/76/Flag_BID.png
HSA,https://eu5.paradoxwikis.com/images/6/6c/Flag_HSA.png
LUB,https://eu5.paradoxwikis.com/images/7/79/Flag_LUB.png
LBB,https://eu5.paradoxwikis.com/images/0/0d/Flag_LBB.png
BRA,https://eu5.paradoxwikis.com/images/a/a1/Flag_BRA.png
ALL,https://eu5.paradoxwikis.com/images/a/ab/Flag_TES.png
LDB,https://eu5.paradoxwikis.com/images/b/bf/Flag_LDB.png
MEI,https://eu5.paradoxwikis.com/images/5/51/Flag_JUL.png
MAG,https://eu5.paradoxwikis.com/images/7/72/Flag_MAG.png
THU,https://eu5.paradoxwikis.com/images/4/40/Flag_THU.png
BRE,https://eu5.paradoxwikis.com/images/c/cf/Flag_BRE.png
BRM,https://eu5.paradoxwikis.com/images/b/b5/Flag_BRM.png
NSA,https://eu5.paradoxwikis.com/images/a/ab/Flag_NSA.png
BRG,https://eu5.paradoxwikis.com/images/8/81/Flag_BRG.png
MAI,https://eu5.paradoxwikis.com/images/8/81/Flag_MAI.png
SAA,https://eu5.paradoxwikis.com/images/c/c8/Flag_SAA.png
STE,https://eu5.paradoxwikis.com/images/1/15/Flag_STE.png
HPL,https://eu5.paradoxwikis.com/images/8/89/Flag_HPL.png
HTR,https://eu5.paradoxwikis.com/images/e/ed/Flag_HTR.png
SLV,https://eu5.paradoxwikis.com/images/8/87/Flag_SLV.png
BOH,https://eu5.paradoxwikis.com/images/d/dd/Flag_BOH.png
MVA,https://eu5.paradoxwikis.com/images/a/a2/Flag_MVA.png
DIT,https://eu5.paradoxwikis.com/images/c/cb/Flag_DIT.png
NOV,https://eu5.paradoxwikis.com/images/e/e1/Flag_NOV.png
TPS,https://eu5.paradoxwikis.com/images/5/59/Flag_TPS.png
BLO,https://eu5.paradoxwikis.com/images/9/90/Flag_BLO.png
YAR,https://eu5.paradoxwikis.com/images/c/c5/Flag_YAR.png
RSO,https://eu5.paradoxwikis.com/images/5/53/Flag_RSO.png
TVE,https://eu5.paradoxwikis.com/images/b/bc/Flag_TVE.png
KAS,https://eu5.paradoxwikis.com/images/7/7c/Flag_KAS.png
KLN,https://eu5.paradoxwikis.com/images/1/1d/Flag_KLN.png
ZUB,https://eu5.paradoxwikis.com/images/f/f4/Flag_ZUB.png
DMI,https://eu5.paradoxwikis.com/images/2/2b/Flag_DMI.png
GLM,https://eu5.paradoxwikis.com/images/4/4b/Flag_GLM.png
RZH,https://eu5.paradoxwikis.com/images/1/10/Flag_AUD.png
VYA,https://eu5.paradoxwikis.com/images/a/ab/Flag_VYA.png
FMB,https://eu5.paradoxwikis.com/images/b/bd/Flag_FMB.png
TRB,https://eu5.paradoxwikis.com/images/2/2a/Flag_TRB.png
BRY,https://eu5.paradoxwikis.com/images/8/80/Flag_BRY.png
CHR,https://eu5.paradoxwikis.com/images/d/d5/Flag_CHR.png
STS,https://eu5.paradoxwikis.com/images/5/5a/Flag_STS.png
NVS,https://eu5.paradoxwikis.com/images/5/52/Flag_NVS.png
RYL,https://eu5.paradoxwikis.com/images/f/fd/Flag_RYL.png
NSL,https://eu5.paradoxwikis.com/images/f/f1/Flag_NSL.png
KCH,https://eu5.paradoxwikis.com/images/2/21/Flag_KCH.png
KZK,https://eu5.paradoxwikis.com/images/0/09/Flag_KZK.png
TRS,https://eu5.paradoxwikis.com/images/a/a3/Flag_TRS.png
RYA,https://eu5.paradoxwikis.com/images/3/3c/Flag_RYA.png
PRK,https://eu5.paradoxwikis.com/images/2/24/Flag_PRK.png
SKY,https://eu5.paradoxwikis.com/images/a/ad/Flag_SKY.png
NZH,https://eu5.paradoxwikis.com/images/f/f2/Flag_NZH.png
SZL,https://eu5.paradoxwikis.com/images/c/c5/Flag_SZL.png
GRS,https://eu5.paradoxwikis.com/images/d/d3/Flag_GRS.png
KOS,https://eu5.paradoxwikis.com/images/2/23/Flag_KOS.png
MRM,https://eu5.paradoxwikis.com/images/a/ac/Flag_MRM.png
MOG,https://eu5.paradoxwikis.com/images/2/28/Flag_MOG.png
MOS,https://eu5.paradoxwikis.com/images/2/24/Flag_MOS.png
PZL,
KLM,
VLR,https://eu5.paradoxwikis.com/images/5/52/Flag_VLR.png
UGL,https://eu5.paradoxwikis.com/images/f/fe/Flag_UGL.png
