aa_kw,no river,
aabenraa,no river,
aaboukingon,good result,tywhapita|kuttawa|pennyrile|patoka|gichthanne
aahkawiraahkata,good result,quivira|panenetah|aahkawiraahkata|otun
aahkawirahkata,good result,aashbiliihkupe|iichiilikaaashaashe
aalborg,no river,
aalst,good result,brussels|ath
aankwaahsakwa,good result,wapinippi|agouasaque|gichthanne
aantaara_point,non conclusive,
aarau,good result,aarau|mulhouse
aarhus,no river,
aashbiliihkupe,good result,aahkawirahkata|ashalaho
aashise,good result,baashalapache|binmatshua
aays,good result,kiamichi|yscani|nasoni
abaco_coast,non conclusive,
abacoa,no river,
abadan,good result,zuwayr|muhammerah|kuwait_bay
abaga,good result,myndagai|amga
abagaita,good result,hulun|khirkhira
abaiang_atoll,non conclusive,
abaiang_coast,non conclusive,
abakasnk,good result,beya|tatarskaya_tesyu
aban,good result,taseyevo|chunoyar
abare_i,good result,araritaguaba|botucatu|itapetininga|itaporanga|brotas|piracicaba
abashiri,no river,
abau,non conclusive,
abbeville,no river,
abdalkuri_coast,non conclusive,
abdas,good result,basra|al_madar|al_qatr|wasit
abdulino,good result,turkmenevo
abegweit_passage,non conclusive,
abemama_atoll,no river,
abemama_coast,non conclusive,
abengourou,good result,goaso|assinie|toumodi|apollonia
aberdeen,no river,
aberystwyth,no river,
abihka,good result,apica|ohatchee|talisi|pakana
abimatinu,good result,kapuskasing|wakusimi|buskegau|james_bay_lowlands|kwetabohigan
abingdon,good result,oxford|banbury|reading|chippenham
abisko,good result,nikkaluokta|torne_trask|skanderna
abitau,good result,thoa|lake_island
abiy_addi,good result,sokota|debarq|axum
abo,no river,
abo_skargard,no river,
abomey,good result,ajase|ketu|dassa_zoume
abong,good result,akonolinga|congo_jungle|sangmelima
aborlan,no river,
abrahamtelke,good result,pest|buda|solt
abruzzo_coast,non conclusive,
abu,no river,
abu_abyad_island,non conclusive,
abu_dawood_cape,non conclusive,
abu_dhabi,no river,
abu_gamys_cape,non conclusive,
abu_hamed,good result,shemkhiya|berber|karima
abu_kemal,good result,anah|rahba
abulat_island,non conclusive,
abun,no river,
abun_coast,non conclusive,
aburakeiru,non conclusive,
abuta,no river,
abutua,good result,bumbuzi
aby_lagoon,non conclusive,
abyan_coast,non conclusive,
abyy,good result,syagannaax|solomoydokh
acambaro,good result,maravatio|yuririapundaro
acanti,good result,darien_gulf|murri
acaponeta,no river,
acapulco_bay,non conclusive,
acari,no river,
acasaguastlan,good result,cuauhtemallan|toquegua
acatic,good result,tonala
acayucan,non conclusive,
accomac,no river,
accra,no river,
accra_point,non conclusive,
achaka,good result,kolymskoie|kolyma_river
acham,good result,dipayal|kailali|sinja
achan,good result,nemptu|uninka|xungake|uschu
achava,no river,
achchen_bay,non conclusive,
achen,non conclusive,
achikamii,good result,watistiguam|mammamattawa
achim,good result,bremen|hoya
acholi,good result,gondokoro|rejaf|pubungu
achomawi,good result,yana|tollin
aco,good result,lucala|pungo_ndongo
acoroazes,good result,jaguarari|ipueira
acre,no river,
acroas,good result,para|apyawa|coco
acteon,non conclusive,
acu_lagoon,non conclusive,
acuera,good result,george_lake_fl|jororo|surruque|guazoco
adalaga,good result,sloviansk|zmiiv
adams_bridge,non conclusive,
adan,no river,
adana,good result,anavarza|gulf_alexandretta|gulf_mersin
adang_bay,non conclusive,
adare,no river,
addu_atoll,non conclusive,
addu_coast,non conclusive,
adena,good result,warioto
adeqiu,good result,zhuluo|dzingcho|sangme|tsakhalkho
aderbissinat,good result,ollelewa|bilma
adilabad,good result,kelapur|manikdrug|mahur
adixoodagoorahareesh,good result,maanaagi_iixodagish|waahukaahaanu|koostaaka
adjud,good result,targu_trotus|focsani
adlur,good result,vemulawada
admiralty_sound,non conclusive,
ado_ekiti,good result,ikere|ilesa|oshogbo
adoni,good result,kurnool|bellari
adra,no river,
adranos,good result,dursunbey|mihalic|lake_uluabat|domanic
adshusheer,good result,pamticough|eno
aduma,good result,congo_jungle|bateke_kongo|djundu
adyukh,good result,khumar|shad_kirman
adyumba,non conclusive,
adzera,good result,rawa_papua|central_range_mountains
aerzhai,good result,ulan_buh_desert|bayannur|hebin
afanasyevo,good result,kirs|stepanenki
afikpo,good result,awka_etiti|korup_jungle
afmadow,good result,kismayo|jilib|central_dahalo|north_dahalo
afua_coast,non conclusive,
aga,good result,nibuchu|unda
agadir,no river,
agadir_bay,non conclusive,
agaes,good result,kyyindy|lanagashec|avaes
agai_ticutta,good result,reno
agaidika,good result,waradika|iyeesnime
agar,good result,sarangpur|gagraun
agaro,good result,ilimo|lieka
agattu_island1,non conclusive,
agawa,no river,
agawa_superior,no river,
agawam,good result,pocumtuck|saukiog
agde,no river,
agdez,good result,ouarzazate|tagmadert
agen,good result,montflanquin|cahors|montauban
aghkand,good result,miyaneh|hashatjin|sarcham
agiabampo_bay,non conclusive,
agikuyu,good result,east_african_mountains|oda_boru_ruva
agob,no river,
agoo,no river,
agordat,good result,asmara|anseba
agori,good result,sidhi|vijaygarh
agouasaque,good result,aankwaahsakwa|patoka|wapahani|quiaghtena|pawwikamsipi
agra,good result,etawah|jalesar_doab|bhind|sabalgarh
agrihan,non conclusive,
agror,good result,mardan|baligram
aguacadiba,no river,
aguacana,good result,churumekua|apatzingan
aguacay,good result,anoixi
aguanish,good result,natashquan|vieux_poste_point
aguasabon,good result,ginoogaming
aguere,no river,
aguirre_bay,non conclusive,
aguja_point,non conclusive,
agulhas,no river,
agulhas_cape,non conclusive,
aguyaq,good result,akokpaq
aguz,no river,
agvituk,good result,kaipokok|kaipokok_bay|agvituk|gex|abe|otun
agw_aneq,no river,
agwarmin,good result,wailulu|burdekin
aha_macav,good result,halchidoma|hwalbay|havasu
ahe,good result,purus_amazon_jungle|yjxa|wari
aheri,good result,bhadrachalam|gadchiroli|barasuru|sirpur
ahkwesasne,good result,ahkwesasne_ny
ahkwesasne_ny,good result,ahkwesasne|kaniatarahontsi
ahmednagar,good result,daulatabad|sinnar
ahome,no river,
ahouenro,no river,
ahrweiler,good result,mayen|siegburg|wied
ahsenisiipi,good result,pecatonica|peewareewa|coiracoentanon|wapsipinicon
ahtopol,no river,
ahuacatlan,good result,cuauhchinanco
ahunui_coast,non conclusive,
ahurei,non conclusive,
ahuya_yari,good result,bismuna_lagoon|awastara
ahvaz,good result,dowraq|shushtar
ahwar,no river,
ahwendoe,non conclusive,
ai_ais,good result,garibams|nababeep
aichi,no river,
aigun,good result,bir_amur|kuanhe|xunhe|tehcha
aikana,good result,kwaza|latunde|sabanes
aikhal,good result,ulakhan_vava|udachny
aikou,no river,
ailinginae_atoll,non conclusive,
ailinginae_coast,non conclusive,
ailinglaplap_atoll,non conclusive,
aillik,non conclusive,
ailuk_atoll,non conclusive,
aim_maia,good result,tsipanda|ust_yudoma|aldan_upplands3
aim_mocoylek,good result,lalek_cotaa|quisquisacate|karendo
aimi,no river,
aimore,good result,urucu|guriri_coast
ain_farah,good result,towing|masa_sud
ainu_nik,good result,akisq_nuk|ktunwakanmituk|yakyu_ki
air_hitam,no river,
air_hitam_bay,non conclusive,
aire,good result,nogaro|dax
ais,good result,ho_bay|uriparacoxi|lake_okeechobee
ait_benhaddou,good result,ouarzazate
ait_daoud,no river,
aitutaki_atoll,no river,
aitutaki_coast,no river,
aiud,good result,alba_iulia|cetatea_balta|turda
aivitok,non conclusive,
aiwanj,good result,qubodijon|termez|kunduz
aix_en_provence,good result,tarascon|barjols
aixe,good result,st_leonard|rochechouart
aiyasu_coast,non conclusive,
aizkraukle,good result,selpils|koknese
ajaccio,no river,
ajara,good result,belgaum|western_ghats_belgaum
ajase,good result,ardra|abomey|ketu|bouche_du_roy
ajayameru,good result,himalaya8|champavati|kanchapur
ajdabiya,no river,
ajehuac_yana,good result,atajal|tza_wan_pupako
ajie,no river,
ajim,no river,
ajmer,good result,kurki|abe|otun
aju,no river,
ajuchitlan,good result,teloloapan|cutzamala|tetellan
akademiya_bay,non conclusive,
akaroa,no river,
akashi,no river,
akbarpur,good result,awadh|kishi|azamgarh|mau_jaunpur
akcasehir,non conclusive,
akei,no river,
akhalkalaki,good result,akhaltsikhe|tmogvi
akhaltsikhe,good result,gori|akhalkalaki
akhmim,good result,el_buwit|qena
akhsikath,good result,kasan|pop_fargana|marghinan|quva
akhsisek,good result,kelif|khoja_idat_kala|navidakh
akhtar,non conclusive,
aki,no river,
aki_shikoku,no river,
akilasiewakik,non conclusive,
akilonda,good result,lukuga|miketo|mtowa
akimiski,no river,
akinka_nup,good result,yaqan_nukiy|ntiltxitk
akinkumasnuqit,good result,aqanqmi|aq_am
akishma,good result,duse_alin|olongki|epe
akisq_nuk,good result,aq_am|ainu_nik
akita,no river,
akita_kumamoto,no river,
akkajaur,good result,gratesk|alvsby|arvidsjaur|arjeplog
akkesene,good result,baba_ata|saudakent|sarvaslyk
akkeshi,no river,
akkus,good result,ladik_pontus|samsun
aklan,no river,
aklaviq,non conclusive,
aklera,good result,sarangpur|kota
aknuq_uk,good result,ktunwakanmituk|yakyu_ki|ne_ktunaxa_ranges
akokpaq,good result,igiugig|nuuriileng|aguyaq|koliaganeq
akola,good result,illichpur|amravati|mehkar
akonolinga,good result,abong|nyong
akou,no river,
akre,good result,amadiya|erbil|mosul
akropong,good result,akropong|cape_saint_paul
akrotiri_bay,non conclusive,
aksay,good result,stepanevka|nagavskaya
aksay_pointic,good result,shyngyrlau|terekti|irek
aksu,good result,kumtura|qumbash|shayar
aksumbe,good result,tasty
aktas_kystagy,good result,sighnaq|sawran
akure,good result,owo|ondo|ughoton|mahin|uromi
akureyri,no river,
akuugun,non conclusive,
akwaala,no river,
akwatia,good result,fomena
akwe,good result,tours|kraho|xerente
akwen,non conclusive,
akyab,good result,launggyet|mrauk_u|arakhan_coast
akyazi,good result,goynuk|akcasehir
al_anbar,good result,karbala|hit
al_arah,no river,
al_azlam,no river,
al_bab,good result,manbij|maskanah
al_bayda,no river,
al_bidda,no river,
al_dhaid,no river,
al_ghulayfiqah,no river,
al_hawra,no river,
al_hirda,no river,
al_huwaila,no river,
al_huwayyit,good result,fadak|as_sulaymi|darghat
al_jar,no river,
al_jubayl,no river,
al_juhfah,no river,
al_kalb_cape,non conclusive,
al_khaburah,no river,
al_khadra,non conclusive,
al_khosuf,no river,
al_khums,no river,
al_kuwayra,non conclusive,
al_laghfiyyah,good result,dawbah|ar_rass|at_tarfawi
al_lith,no river,
al_luhayyah,no river,
