location,status,good_results
a_taw_bun_kut_en,good result,na_taw_bun_kut|witset
quizquiz,good result,chucalissa|ongoulastoga|taposa|pacaha|quigate|ryn
hunfeld,good result,hersfeld|meiningen|wake
itonama,good result,madeira_amazon_jungle|towa_panka|guarasugwe_forest|baure|siriono|cayubaba
passos,good result,amal|piumhi|oral|tres_pontas|amal|sao_sebastiao_paraiso|oral|alfenas
julau,good result,po|igan|sarikei|katibas
chapeco,good result,ou|chopim|palmas|abo|curitibanos|palmeira|lagoa_vermelha|passo_fundo
coos,good result,passumpsic|lantu|cowasuck|ani|ammonoosuc
bembe_buyu,good result,lega_kongo
tabou,good result,san_pedro|cape_palmas
na_choo_ndek,good result,hucha_hudan|klondike
bars_khot,good result,bayan_tumen|uguumur
comitlan,good result,coatlan|juchatengo
sabanozu,good result,baliseyh|kalecik|cankiri
mingtong,good result,ye|dongxiang|dabashan1
khan_khentii,good result,khadanzaa|tsokh
usti_nad_labem,good result,litomerice|decin
tongren,good result,mayang|tixi
ossabaw,good result,tybee|ossabaw_sound
musi,good result,palembang|lakitan|leko|tingkip
kinyama,good result,kafaila|lokera
oxtlipan,good result,tziuhcoac|tanchaycha|ozuluama|tamtoc
youdian,good result,menghua|yangbei|shunning|yongchang_yongchang|yongping_yongchang
yinshaluo,good result,mengmeng|menglei|sime|mengban_weiyuan
wurzburg,good result,uffenheim|karlstadt
kanolu,good result,ou|ou|guwinmal|darumbal|bayali|abo|ou|barna|ia|ou|woppaburra|gayiri|wa
valenciennes,good result,tournai|cambrai
lalsk,good result,pyras|obyachevo
agdez,good result,ouarzazate|tagmadert
vuriloche,good result,catan_lil|ia|curruhuinca
machakh,good result,dulgalakh|bala|boronuk
muang_nakhon,good result,kut_ling|muang_nong_han_luang|thakhek
bilecik,good result,sogut
markovo,good result,oreshek
kwetabohigan,good result,james_bay_lowlands|abimatinu|wawiyastan|kagawask
saleesh,good result,missoula|niarada|qlispe
porto_turvo,good result,sao_joao_rei|baependi|barbacena
kawatinook,good result,amisk_sipi|missinipi
zimapan,good result,tecozautla
dazhasi,good result,metsang|muxihe
ostroda,good result,nibork|olsztyn
katol,good result,devgarh|amravati
chaumont_vexin,good result,montmorency|gisors
catawba,good result,bor|ia|ia|iswa|ou|talimeco|ia|ye|tes
kapuas,good result,ia|kuripan|ia|hulu_kapuas
fanakat,good result,chach|dakhkat
mser,good result,logone_birni|goulfey
hambukushu,good result,ath|nangana|ani_south
kanegaok,good result,kiamika|po|okaisipi|mon
tatinnai,good result,nueltin|thaolintoa
pelly_faro,good result,carmacks|pelly_river|kaska_forest
leshukonskoye,good result,khimzha|ust_chulasa|mezen
chikwanda,good result,sofala|bandire|nis
neuss,good result,cologne|solingen|ye|mors
pont_audemer,good result,seine_bay|tancarville|louviers
cudalbi,good result,galati|oancea|cahul|reni
luhansk,good result,lysychansk|ye|kalmius
badamgarh,good result,garhjat_range|bonaigarh
kurmysh,good result,sergach|vasilsursk
cherkasy,good result,horoshino
kupuri,good result,tok
nellore,good result,kavali|udayagiri|indian_coast49
tungi,good result,north_meetto|ye|makonde|ruvuma_bay
katen,good result,boli|alchan|xunka|lahasusu
lanxi,good result,jinhua|longyou|jiande|ye
giurgiu,good result,ou|lichiresti|zimnicea|tutrakan|cherven|ruse
bragernes,good result,sande|ringerike|oslo_fjord
nagaradalaax,good result,siberian_tundra_4|solomoydokh|kulun_olbut
kapan_armenia,good result,goris|julfa
pilda,good result,bulava|bitki|deren
surmali,good result,kagizman|yerevan|igdir
munster,good result,warendorf|rheine
huazhou,good result,huayin|weinan
krestyakh,good result,tuoydakh|oyusut
tyokhtyur,good result,mayya|zhatai|tit_ebya|charang
jiyang,good result,qihe|licheng|zhangqiu|qidong|yanci
lucapa,good result,kalala|kiluata|muata_musembo|mulunda
chatillon_sur_seine,good result,chaumont|choiseul|langres|bar_sur_aube
ollo,good result,yakesa|emuer|urka
oropesa,good result,valverde|puente_arzobispo
samastipur,good result,mehsi|hajipur|khagaria|monghyr
monocacy,good result,anacostia|antietam|opequon
chisinau,good result,tighina|tuzara|iagorlic
muang_kham,good result,muang_lang|ky_son
tereshka,good result,ukek|malykovka
zagreb,good result,lasko|bjelovar|sisak
niah,good result,tutong|baram|tinjar
nangcheon,good result,geumseong|baud|chunju|omo
huacatambo,good result,chao|tumshukaiko|ferrol_bay
igaracu,good result,tapuios|potyguara|parnaiba_delta
wannian,good result,poyang|leping
ayopaya,good result,paititi|incarraqay
berezovka,good result,ia|shabash|lobuya|srednekolymsk|kolyma_upplands2
chalin,good result,bayan_susu|shangjing|ilan_hala|wanhufu|wehe
deokju,good result,yeongwon|gaeju|sunju
eianamogola,good result,taliepacana|consha|caftacha|sacchuma
kozuchow,good result,glogow|abe|ye
al_mithnab,good result,buraydah|an_nibaj|unaizah
kehek_aike,good result,chalten
panevezys,good result,pasvalys|ia|maleisiai
sadak,good result,buzuluk|malyy_uran
tullahoma,good result,tombigby
raciborz,good result,hlucin|kozle
solikamsk,good result,usolye|cherdyn|nyrob|ural_forest
