LandProvince;SeaZone;x;y;
stockholm;stockholms_skargard;8532;6945;x
norrtalje;tralhavet;8554;6980;x
kastelholm;alands_hav;8606;6993;x
tierp;gavlebukten;8517;7016;x
nykoping;braviken;8497;6903;x
kolmarden;braviken;8467;6882;x
sodertalje;stockholms_skargard;8532;6923;x
gefle;gavlebukten;8485;7031;x
hamrange;gavlebukten;8480;7040;x
soderkoping;braviken;8460;6867;x
norrkoping;braviken;8438;6883;x
kalmar;kalmar_sund;8432;6732;x
tjust;kalmar_sund;8447;6828;x
sevede;kalmar_sund;8450;6805;x
handbord;kalmar_sund;8443;6779;x
oland;western_gotland_basin;8471;6784;x
utlandet;kattegatt;8232;6809;x
slite;gotlands_hav;8549;6830;x
visby;western_gotland_basin;8518;6805;x
hoborg;oland_coast;8520;6775;x
ribe;esperance_bay;8085;6647;x
haderslev;lilla_balt;8132;6636;x
aabenraa;lilla_balt;8123;6627;x
tonder;north_frisian_islands;8085;6622;x
randers;alborg_bugt;8163;6736;x
viborg;limfjorden;8102;6735;x
aalborg;alborg_bugt;8162;6751;x
ars;limfjorden;8115;6737;x
bolling;ringkobing_fjord;8072;6689;x
ringkobing;ringkobing_fjord;8066;6719;x
holstebro_lundenes;limfjorden;8086;6730;x
varde;esperance_bay;8068;6663;x
kolding;stora_balt;8135;6671;x
aarhus;stora_balt;8143;6684;x
kalo;stora_balt;8175;6706;x
thisted;vigso_bay;8093;6773;x
skagen;alborg_bugt;8172;6779;x
hjorring;jammer_bay;8148;6809;x
roskilde;oresund;8230;6673;x
ringsted;oresund;8252;6640;x
kalundborg;stora_balt;8208;6678;x
helsingor;oresund;8236;6684;x
hammershus;skanska_kusten;8370;6641;x
kobenhavn;oresund;8256;6666;x
slagelse;stora_balt;8202;6641;x
vordingborg;oresund;8240;6634;x
odense;stora_balt;8171;6657;x
navskov;lilla_balt;8215;6596;x
falster;stora_balt;8227;6623;x
assens;lilla_balt;8141;6648;x
svendborg;lilla_balt;8171;6626;x
slesvig;lilla_balt;8134;6592;x
flensburg;lilla_balt;8124;6613;x
eckernforde;lilla_balt;8142;6587;x
husum;north_frisian_islands;8097;6584;x
helsingborg;oresund;8273;6712;x
malmo;arkona_cape;8289;6649;x
gladsax;skanska_kusten;8341;6655;x
asbo;kattegatt;8276;6728;x
varberg;kattegatt;8247;6773;x
laholm;kattegatt;8279;6736;x
halmstad;kattegatt;8265;6751;x
kungsbacka;kattegatt;8241;6795;x
ronneby;blekinge_kust;8371;6704;x
bregne;blekinge_kust;8404;6705;x
solvesborg;skanska_kusten;8351;6695;x
hudiksvall;west_botnia;8481;7120;x
soderala;gavlebukten;8475;7079;x
selanger;west_botnia;8486;7167;x
harnosand;west_botnia;8506;7192;x
sjalevad;west_botnia;8538;7218;x
grundsunda;kvarken;8577;7247;x
umea;kvarken;8616;7261;x
skelleftea;gulf_of_bothnia;8651;7343;x
tornea;gulf_of_bothnia;8770;7422;x
bygdea;kvarken;8659;7303;x
pitea;gulf_of_bothnia;8677;7388;x
lulea;gulf_of_bothnia;8709;7418;x
ranea;gulf_of_bothnia;8724;7426;x
byske;gulf_of_bothnia;8665;7356;x
kiemi;gulf_of_bothnia;8799;7417;x
simo;gulf_of_bothnia;8821;7408;x
uleaborg;gulf_of_bothnia;8849;7355;x
brahestad;gulf_of_bothnia;8804;7335;x
kuivaniemi;gulf_of_bothnia;8844;7393;x
korsholm;kvarken;8664;7201;x
koppo;east_botnia;8656;7157;x
pedersore;kvarken;8738;7269;x
karleby;gulf_of_bothnia;8764;7286;x
vora;kvarken;8713;7245;x
abo;abo_skargard;8697;7013;x
nystad;abo_skargard;8671;7024;x
sauvo;abo_skargard;8720;6983;x
helsinge;west_gulf_of_finland;8834;6995;x
ekenas;west_gulf_of_finland;8755;6973;x
sjundea;west_gulf_of_finland;8794;6983;x
porvoo;west_gulf_of_finland;8860;7003;x
raumo;east_botnia;8669;7079;x
bjorneborg;east_botnia;8673;7100;x
sastmola;east_botnia;8667;7122;x
kymi_fi;east_gulf_of_finland;8905;7013;x
vyborg;east_gulf_of_finland;8997;7018;x
veckelax;east_gulf_of_finland;8929;7020;x
vederlax;east_gulf_of_finland;8976;7020;x
valkeasaari;east_gulf_of_finland;9047;6994;x
beryozovskoye;east_gulf_of_finland;9003;7004;x
konghalla;grenen_cape;8227;6836;x
uddevalla;grenen_cape;8213;6856;x
stromstad;skagerrack;8198;6903;x
hornborg;skagerrack;8203;6881;x
borg;skagerrack;8191;6921;x
moss;oslo_fjord;8175;6944;x
tonsberg;skagerrack;8162;6919;x
skien;frier_fjord;8136;6912;x
sande;oslo_fjord;8162;6944;x
stavanger;bokna_fjord;7947;6903;x
ryfylke;bokna_fjord;7971;6926;x
suledal;bokna_fjord;7964;6942;x
haugalandet;bokna_fjord;7946;6931;x
jaeren;obrestad_cape;7957;6869;x
flekkefjord;lindesnes_cape;7994;6853;x
sirudal;bokna_fjord;7987;6911;x
lindesnes;lindesnes_cape;8007;6841;x
oddernes;kristiansand_fjord;8055;6844;x
oyestad;frier_fjord;8101;6877;x
sondeled;frier_fjord;8116;6898;x
bragernes;oslo_fjord;8164;6947;x
bergen;fens_fjord;7929;7011;x
fana;bjorna_fjord;7946;6998;x
kvinnherad;hardanger_fjord;7961;6965;x
ullensvang;hardanger_fjord;7994;7010;x
moster;hardanger_fjord;7947;6977;x
eidfjord;hardanger_fjord;8009;7018;x
nordhordland;fens_fjord;7929;7040;x
voss;hardanger_fjord;7974;7008;x
eid;nordfjord_sea;7915;7109;x
stryn;nordfjord_sea;7992;7107;x
sunnfjord;sogne_fjord;7930;7091;x
sogndal;sogne_fjord;7993;7070;x
aurland;sogne_fjord;8010;7061;x
vik;sogne_fjord;7981;7061;x
laerdal;sogne_fjord;8029;7068;x
oslo;oslo_fjord;8174;6972;x
ski;oslo_fjord;8182;6969;x
nidaros;trondheim_fjord;8169;7239;x
stjordal;trondheim_fjord;8187;7247;x
orkdal;trondheim_fjord;8110;7231;x
skaun;trondheim_fjord;8147;7232;x
levanger;trondheim_fjord;8211;7267;x
namdal;bindals_fjord;8222;7343;x
orland;trondheim_fjord;8147;7261;x
steinkjer;bindals_fjord;8210;7316;x
molde;nordfjord_sea;8027;7185;x
fosna;tingvoll_fjord;8079;7228;x
sunndal;tingvoll_fjord;8078;7195;x
rauma;nordfjord_sea;8010;7152;x
sunnmore;nordfjord_sea;7957;7146;x
borgund;nordfjord_sea;7984;7169;x
stordal;nordfjord_sea;7988;7144;x
troms;senja_island;8552;7722;x
trondenes;vestfjord;8464;7634;x
senja;senja_island;8486;7688;x
bardodalen;lofoten_islands2;8492;7665;x
raisa;lyngen;8691;7739;x
bodo;ran_fjord;8380;7539;x
birndal;bindals_fjord;8264;7393;x
alstahaug;ran_fjord;8312;7448;x
gildeskal;ran_fjord;8336;7516;x
steigen;ran_fjord;8394;7577;x
langenes;lofoten_islands2;8398;7661;x
lofotr;vestfjord;8373;7620;x
hamaroy;vestfjord;8441;7608;x
ofoti;vestfjord;8484;7629;x
varanger;tana_fjord;8996;7765;x
vardo;tana_fjord;9075;7770;x
deatnu;tana_fjord;8959;7796;x
porsanger;north_cape;8828;7763;x
hammerfest;north_cape;8787;7798;x
alta;lyngen;8745;7753;x
kirkenes;tana_fjord;9065;7747;x
lebesby;north_cape;8906;7792;x
kem;inner_onega_bay;9275;7360;x
keret;varzuga_estuary;9215;7460;x
kovda;varzuga_estuary;9176;7504;x
kriitina;varzuga_estuary;9272;7415;x
saarijoki;inner_onega_bay;9275;7321;x
kola;rybachy_peninsula;9196;7675;x
dalniye_zelentsy;murman_coast;9338;7686;x
kiltina;rybachy_peninsula;9233;7701;x
ponoi;orlov_cape;9565;7534;x
semiostrov;svyatoy_nos_cape;9432;7629;x
svyatoy_nos;svyatoy_nos_cape;9503;7597;x
umba;varzuga_estuary;9225;7496;x
kantalahti;varzuga_estuary;9182;7519;x
kashkarantsy;varzuga_estuary;9321;7463;x
olenitsa;varzuga_estuary;9274;7481;x
pyalitsa;intsi_cape;9527;7464;x
raivke;varzuga_estuary;9169;7519;x
tetrino;intsi_cape;9462;7443;x
varzuga;varzuga_estuary;9371;7456;x
pechenga;rybachy_peninsula;9151;7724;x
mootka;rybachy_peninsula;9172;7714;x
holar;skaga_fjord;6798;7418;x
husavik;fontur_point;6921;7448;x
akureyri;skaga_fjord;6864;7421;x
blonduos;isa_fjord;6757;7398;x
torshofn;fontur_point;6981;7454;x
vopnafjordur;fontur_point;7016;7416;x
seydisfjordur;glettinga_point;7071;7393;x
reydarfjordur;glettinga_point;7052;7341;x
holmur;stokks_point;7016;7306;x
kirkjubaejar;vestmanna_islands;6867;7242;x
borgarnes;faxa_bay;6676;7321;x
olavsvik;faxa_bay;6648;7339;x
isafjordur;arnar_fjord;6690;7395;x
hvamstangi;isa_fjord;6730;7385;x
