locationA,locationB,accessType
a_keis,aoe,land
a_keis,hantam,land
a_keis,khai_ma,land
a_keis,matzikama,land
a_keis,nama,land
a_keis,namakwa,land
a_keis,tconsiep,land
a_taw_bun_kut_en,ediziza_forest,river
a_taw_bun_kut_en,khelhghubun,lake
a_taw_bun_kut_en,khelhghubunt_en,river
a_taw_bun_kut_en,na_taw_bun_kut,lake
a_taw_bun_kut_en,nak_azdlit_en,river
a_taw_bun_kut_en,witset,river
aa_kw,funter_bay,port
aa_kw,gunaaxoo,river
aa_kw,jilkaat,river
aa_kw,shushtone_forest,land
aabenraa,flensburg,river
aabenraa,haderslev,river
aabenraa,lilla_balt,port
aabenraa,tonder,river
aaboukingon,cuttaway,river
aaboukingon,gichthanne,river
aaboukingon,kuttawa,river
aaboukingon,patoka,river
aaboukingon,pennyrile,river
aaboukingon,tywhapita,river
aachen,duren,land
aachen,heinsberg,land
aachen,limbourg,land
aachen,maastricht,land
aachen,schleiden,land
aachen,st_vith,land
aahkawiraahkata,harahey,land
aahkawiraahkata,kaiurskuta,land
aahkawiraahkata,ne_miskua,land
aahkawiraahkata,nepahalla,land
aahkawiraahkata,panenetah,river
aahkawiraahkata,quivira,river
aahkawirahkata,aashbiliihkupe,river
aahkawirahkata,iichiilikaaashaashe,river
aahkawirahkata,little_belt_mountains,land
aahkawirahkata,mitsiadazi,river
aahkawirahkata,shoshonne,river
aahkawirahkata,skaapirox,land
aakhoe,bayei,river
aakhoe,etosha_salt_pan,river
aakhoe,haiom,land
aakhoe,himba,land
aakhoe,odonga,land
aakhoe,ombombo_mountains,land
aakhoe,oukwanyama,river
aakhoe,uukwambi,land
aaku,halona_idiwana,land
aaku,shiewhibak,land
aaku,teypana,land
aaku,tselgaii,land
aaku,tsiya,land
aalborg,alborg_bugt,port
aalborg,ars,river
aalborg,limfjorden,port
aalborg,randers,river
aalst,ath,river
aalst,brussels,river
aalst,enghien,land
aalst,ghent,river
aalst,oudenaarde,river
aalst,sint_niklaas,river
aankwaahsakwa,agouasaque,river
aankwaahsakwa,gichthanne,river
aankwaahsakwa,oheyandewa,land
aankwaahsakwa,wapahani,land
aankwaahsakwa,wapinippi,river
aantaara_point,alula,port
aantaara_point,bosaso,port
aantaara_point,cape_cadcadde,sea
aantaara_point,cape_elephant,sea
aantaara_point,gulf_aden2,sea
aantaara_point,qandala,port
aarau,baden_im_aargau,river
aarau,basel,river
aarau,burgdorf_emmental,river
aarau,lucerne,land
aarau,mullheim,river
aarau,solothurn,river
aarau,waldshut,river
aarau,wolhusen,land
aarhus,grindsted,land
aarhus,kalo,river
aarhus,kolding,river
aarhus,randers,river
aarhus,silkeborg,land
aarhus,stora_balt,port
aashbikkaashee,grass_creek,land
aashbikkaashee,iichiilikaaashaashe,land
aashbikkaashee,iisaxpuatahcheeaashe,land
aashbikkaashee,ishpiialawaache,land
aashbikkaashee,shoshonne,land
