location,status,good_results
a_taw_bun_kut_en,good result,na_taw_bun_kut|witset
aaboukingon,good result,tywhapita|kuttawa|pennyrile|patoka|gichthanne
aahkawiraahkata,good result,quivira|panenetah|aahkawiraahkata|otun
aahkawirahkata,good result,aashbiliihkupe|iichiilikaaashaashe
aalst,good result,brussels|ath
aankwaahsakwa,good result,wapinippi|agouasaque|gichthanne
aashise,good result,baashalapache|binmatshua
aays,good result,kiamichi|yscani|nasoni
abadan,good result,zuwayr|muhammerah|kuwait_bay
abaga,good result,myndagai|amga
abagaita,good result,hulun|khirkhira
abakasnk,good result,beya|tatarskaya_tesyu
aban,good result,taseyevo|chunoyar
abau,good result,iau_jungle
abdas,good result,basra|al_madar|al_qatr|wasit
abdulino,good result,turkmenevo
abengourou,good result,goaso|assinie|toumodi|apollonia
abihka,good result,apica|ohatchee|talisi|pakana
abimatinu,good result,kapuskasing|wakusimi|buskegau|james_bay_lowlands|kwetabohigan
abingdon,good result,oxford|banbury|reading|chippenham
abisko,good result,nikkaluokta|torne_trask|skanderna
abitau,good result,thoa|lake_island
abomey,good result,ajase|ketu|dassa_zoume
abong,good result,akonolinga|congo_jungle|sangmelima
abu_hamed,good result,shemkhiya|berber|karima
abu_kemal,good result,anah|rahba
abutua,good result,bumbuzi
aby_lagoon,seazone,
abyy,good result,syagannaax|solomoydokh
acambaro,good result,maravatio|yuririapundaro
acasaguastlan,good result,cuauhtemallan|toquegua
acatic,good result,tonala
achaka,good result,kolymskoie|kolyma_river
acham,good result,dipayal|kailali|sinja
achan,good result,nemptu|uninka|xungake|uschu
achim,good result,bremen|hoya
acholi,good result,gondokoro|rejaf|pubungu
acoroazes,good result,jaguarari|ipueira
acuera,good result,george_lake_fl|jororo|surruque|guazoco
adalaga,good result,sloviansk|zmiiv
adana,good result,anavarza|gulf_alexandretta|gulf_mersin
adena,good result,warioto
adeqiu,good result,zhuluo|dzingcho|sangme|tsakhalkho
aderbissinat,good result,ollelewa|bilma
adilabad,good result,kelapur|manikdrug|mahur
adixoodagoorahareesh,good result,maanaagi_iixodagish|waahukaahaanu|koostaaka
adlur,good result,vemulawada
ado_ekiti,good result,ikere|ilesa|oshogbo
adoni,good result,kurnool|bellari
adranos,good result,dursunbey|mihalic|lake_uluabat|domanic
adshusheer,good result,pamticough|eno
aduma,good result,congo_jungle|bateke_kongo|djundu
adyukh,good result,khumar|shad_kirman
adzera,good result,rawa_papua|central_range_mountains
afanasyevo,good result,kirs|stepanenki
afikpo,good result,awka_etiti|korup_jungle
afmadow,good result,kismayo|jilib|central_dahalo|north_dahalo
aga,good result,nibuchu|unda
agaes,good result,kyyindy|lanagashec|avaes
agai_ticutta,good result,reno
agaidika,good result,waradika|iyeesnime
agar,good result,sarangpur|gagraun
agaro,good result,ilimo|lieka
agawam,good result,pocumtuck|saukiog
agdez,good result,ouarzazate|tagmadert
agen,good result,montflanquin|cahors|montauban
aghkand,good result,miyaneh|hashatjin|sarcham
agikuyu,good result,east_african_mountains|oda_boru_ruva
agordat,good result,asmara|anseba
agori,good result,sidhi|vijaygarh
agouasaque,good result,aankwaahsakwa|patoka|wapahani|quiaghtena|pawwikamsipi
agror,good result,mardan|baligram
aguacana,good result,churumekua|apatzingan
aguacay,good result,anoixi
aguanish,good result,natashquan|vieux_poste_point
aguasabon,good result,ginoogaming
aguyaq,good result,akokpaq
